"ID","nombrecompleto","INSTITUCION","NOMBRE","APELLIDO","Cargo","DestinoJunto","Pais","LatLong","Participacion","SALIDA","ano","REGRESO","CostoPasajes","costoNota","CostoViaticos","ViaticosNota","INFORME","informeNumber"
11,"Miguel Mayo","MINSA","Miguel","Mayo","Viceministro de salud","la habana, cuba","cuba","22:-79,5'","Participar de la Reunión en seguimiento a la pasada visita de su Excelencia Juan Carlos Varela, Presidente de la República de Panamá a la Habana, Cuba del 9 al 11 de septiembre. (En el marco del programa de formación de médicos panameños en cuba)","10/20/2015",2015,"10/22/2015","2482.36",,800,,"detalle","Si"
12,"Marcos Young","MINSA","Marcos","Young","Asesora del despacho superior","la habana, cuba","cuba","22:-79,5'","Participar de la Reunión en seguimiento a la pasada visita de su Excelencia Juan Carlos Varela, Presidente de la República de Panamá a la Habana, Cuba del 9 al 11 de septiembre. (En el marco del programa de formación de médicos panameños en cuba)","10/20/2015",2015,"10/22/2015","1399.15",,800,,"detalle","Si"
13,"Reina Roa","MINSA","Reina","Roa","Directora de planificacion de la salud","ginebra, suiza","suiza","47:8'","Participar en ""Second Meeting of the Sixth Bureau of the Conference of the Parties to the WHO FCTC (Framework Convention on Tobacco Control)","10/3/2015",2015,"10/8/2015",,"Cubierto Por Framework Convention On Tobacco Control",900,,"detalle","Si"
14,"Mariela Zurita","MINSA","Mariela","Zurita","Abogada de la depto. de proteccion de alimentos","el salvador","el salvador","13,833333:-88,916667'","Participar en la Segunda Ronda de Unión Aduanera Centroamericana","10/19/2015",2015,"10/23/2015","460.53",,2100,,"detalle","Si"
15,"Raul Bravo","MINSA","Raul","Bravo","Coordinador de salud sexual y reproductiva","mexico","méxico","23:-102'","Participar en la Segunda Reunión de la Conferencia Regional sobre Población y Desarrollo de América Latina y el Caribe","10/6/2015",2015,"10/10/2015",,"Cubierto Por Unfpa",1400,,"detalle","Si"
16,"Cristina Gomez","MINSA","Cristina","Gómez","Tecnica del depto. de analisis de situacion y tendencias de salud","san josé, costa rica","costa rica","10:-84'","Participar de la ""Séptima reunión anual de la Red Latinoameriana y del Caribe para el Fortalecimiento de los Sistemas de Información de Salud (RELACSIS)","10/25/2015",2015,"10/29/2015",,,420,,"detalle","Si"
17,"Jenny Vergara","MINSA","Jeny","Vergara","Directora de farmacia y drogas","españa","españa","40:-4'","Realizar una visita a la Agencia Española de Medicamentos y Productos Sanitarios en Madrid, España a tratar los temas de Expedientes de Registro, Documentos Técnicos Común (CTD)","10/17/2015",2015,"10/29/2015",,"Cubierto Por Ops/oms",7200,,"detalle","Si"
18,"Yamileth Garrido","MINSA","Yamileth","Garrido","Farmaceutica de la direccion de farmacias y drogas","santiago de chile, chile","chile","-30:-71'","Participar del taller regulatorio Regional sobre liberacion de Lotes de Vacunas","10/26/2015",2015,"10/31/2015",,"Cubierto Por Ops/oms",675,,"detalle","Si"
19,"Daniel Cedeño","MINSA","Daniel","Cedeño","Director de la oficina de organización y desarrollo institucional","mexico","méxico","23:-102'","Participar como orador plenario en la semana global 2015 de enfermedades raras, organizada por GEISER Y FEMEXER","10/11/2015",2015,"10/17/2015","461.05",,2100,,"detalle","Si"
20,"Eric Ulloa","MINSA","Eric","Ulloa","Secretario general","tegucigalpa, honduras","honduras","15:-86,5'","Participar en la XXXI Reunión del Sector Salud de Centroamerica y República Dominicana RESSCAD","10/14/2015",2015,"10/17/2015","462.97",,1050,,"detalle","Si"
21,"Martin Alpirez","MINSA","Martin","Alpirez","Coordinador nac. de programa de salud ocupacional","tegucigalpa, honduras","honduras","15:-86,5'","Participar en la XXXI Reunión del Sector Salud de Centroamerica y República Dominicana RESSCAD","10/14/2015",2015,"10/17/2015",,"Cubierto Por Ops/oms",1050,,"detalle","Si"
22,"Ricardo Goti","MINSA","Ricardo","Goti","Coordinador del programa nacional de salud mental","santiago de chile, chile","chile","-30:-71'","participar en la Conferencia Regional de Salud Mental","10/12/2015",2015,"10/16/2015",,"Cubierto Por Ops/oms",540,,"detalle","Si"
23,"Gaspar Da Costa","MINSA","Gaspar","Da Costa","Asesora del despacho superior","mexico","méxico","23:-102'","Participar en la Consulta del Sector Salud de la Región de las Americas en preparación a la Sesión Especial de la Asamblea General de las Naciones Unidas (UNGASS) sobre Drogas en 2016.","10/25/2015",2015,"10/28/2015",,"Cubierto Por Ops/oms",315,,"detalle","Si"
24,"Guillermina Macleary","MINSA","Guillermina","Mcleary","Tecnico del depto. de registro y estadisticas de salud","san josé, costa rica","costa rica","10:-84'","Participar de la ""Séptima reunión anual de la Red Latinoameriana y del Caribe para el Fortalecimiento de los Clickstemas de Información de Salud (RELACClickS)","10/25/2015",2015,"10/29/2015",,"Cubierto Por Ops/oms",420,,"detalle","Si"
25,"Luz Lasso","MINSA","Luz","Lasso","Jefa del depto. de formulacion y evaluacion de presupuesto y proyectos de inverclickon","argentina","argentina","-34:-64'","Participar en el XLII Seminario Internacional de Presupuesto","10/5/2015",2015,"10/10/2015",1585,,2250,,"detalle","Si"
26,"Nurkia Arosemena","MINSA","Nurkia","Arosemena","Subjefa de presupuesto","argentina","argentina","-34:-64'","Participar en el XLII Seminario Internacional de Presupuesto","10/5/2015",2015,"10/10/2015",1585,,2250,,"detalle","Si"
27,"Niurka Gonzalez","MINSA","Niurka","González","Coordinadora de la unidad de ozono de la subdireccion general de salud ambiental","dubai","emiratos arabes unidos","24:54'","Participar en la 36º Reunión del Grupo de Trabajo de Composición Abierta y en la 27ª Reunión de las Partes en el Protocolo de Montreal","10/27/2015",2015,"11/6/2015",1800,,,"CUBIERTO POR LA SECRETARIA DE OZONO","detalle","Si"
28,"Cecilio Tejeira","MINSA","Cecilio","Tejeira","Coordinador de la direccion de asuntos internacionales y cooperacion tecnica","dubai","emiratos arabes unidos","24:54'","Participar en la 36º Reunión del Grupo de Trabajo de Composición Abierta y en la 27ª Reunión de las Partes en el Protocolo de Montreal","10/29/2015",2015,"11/6/2015",1440,,,"CUBIERTO POR LA SECRETARIA DE OZONO","detalle","Si"
29,"Marta Lengua","MINSA","Marta","Lengua","Medico especialista de consulta externa del intituto nacional de medicina fisica y rehabilitacion","mexico","méxico","23:-102'","Participar en el Curso de Prevención de Discapacidad en Paciente con Osteoartritis y Osteoporosis","10/4/2015",2015,"10/17/2015",1365,,,"CUBIERTO POR EL GOBIERNO DE MEXICO","detalle","Si"
30,"Ana Saucedo","MINSA","Ana","Saucedo","Medico especialista de consulta externa del intituto nacional de medicina fisica y rehabilitacion","mexico","méxico","23:-102'","Participar en el Curso de Prevención de Discapacidad en Paciente con Osteoartritis y Osteoporosis","10/4/2015",2015,"10/17/2015",1365,,,"CUBIERTO POR EL GOBIERNO DE MEXICO","detalle","Si"
31,"Ameth Cerceño","MINSA","Ameth","Cerceño","Subdirector de asesoria legal","viena, austria","austria","47,333333:13,333333'","Participar en el Taller de Alto Nivel sobre la promoción de la entrada en vigor de la enmienda del 2005 de la Convención sobre Protección Física de Materia Núclear","10/26/2015",2015,"10/30/2015",,"Cubierto Por La Oficina De Las Naciones Unidas Contra La Droga Y El Delito",720,,"detalle","Si"
32,"Lilia Sanchez","MINSA","Lilia","Sanchez","Coordinadora de asuntos administrativos y legales","viena, austria","austria","47,333333:13,333333'","Participar en el Taller de Alto Nivel sobre la promoción de la entrada en vigor de la enmienda del 2005 de la Convención sobre Protección Física de Materia Núclear","10/26/2015",2015,"10/30/2015",,"Cubierto Por La Oficina De Las Naciones Unidas Contra La Droga Y El Delito",720,,"detalle","Si"
33,"Lourdes Villareal De Loré","MIVIOT","Lourdes","Villareal de Loré","Arquitecta de la dirección de investigación territorial","guatemala","guatemala","15,5:-90,25'","Curso de alto nivel con gestión de riesgo de desastres e inversión pública de los procesos de desarrollo en Centroamérica","7/9/2015",2015,"12/8/2015",,"Sufragado Por El Evento",525,,"no","No"
34,"Lourdes Villareal De Loré","MIVIOT","Lourdes","Villareal de Loré","Arquitecta de la dirección de investigación territorial","el salvador","el salvador","13,833333:-88,916667'","Encuentro Centroamericano de intercambio de experiencias de gestión integral de riesgos, ordenamiento territorial y vivienda","9/20/2015",2015,"9/25/2015",,"Sufragado Por El Evento",525,,"no","No"
35,"Antonio Lam","ANTAI","Antonio","Lam","Director oficina de cooperación técnica internacional","ciudad guatemala, guatemala","guatemala","15,5:-90,25'","Invitación de la UNDOC para participar como Experto Gubernamental en la revisión de los capítulos III y IV de la Convención de las Naciones Unidas contra la Corrupción.","23/2/2015",2015,"28/2/2015",,"Cubierto Por Organismo Internacional",420,,"informe de misión oficial","Si"
36,"Angélica Maytín","ANTAI","Angélica","Maytín","Directora general","washington dc, estados unidos","estados unidos de américa","39,828175:-98,5795'","Vigésima Quinta Reunión del Comité de Expertos del Mecanismo de Seguimiento de la Convención Interamericana contra la Corrupción (MESICIC)","15/3/2015",2015,"21/3/2015","2093.55",,3000,,"informe de misión oficial","Si"
37,"Antonio Lam","ANTAI","Antonio","Lam","Director oficina de cooperación técnica internacional","washington dc, estados unidos","estados unidos de américa","39,828175:-98,5795'","Vigésima Quinta Reunión del Comité de Expertos del Mecanismo de Seguimiento de la Convención Interamericana contra la Corrupción (MESICIC)","15/3/2015",2015,"21/3/2015","1146.9",,2700,,"informe de misión oficial","Si"
38,"Angélica Maytín","ANTAI","Angélica","Maytín","Directora general","parís, francia","francia","46:2'","Foro de Integridad de la Organización para la Cooperación y el Desarrollo Económico (OCDE) y Semana de la Integridad","23/3/2015",2015,"27/3/2015","4851.2",,2400,,"informe de misión oficial","Si"
39,"Antonio Lam","ANTAI","Antonio","Lam","Director oficina de cooperación técnica internacional","parís, francia","francia","46:2'","Foro de Integridad de la Organización para la Cooperación y el Desarrollo Económico (OCDE) y Semana de la Integridad","22/3/2015",2015,"27/3/2015","1755.33",,3000,,"informe de misión oficial","Si"
40,"Angélica Maytín","ANTAI","Angélica","Maytín","Directora general","santiago, chile","chile","-30:-71'","Asistir a la ""IX Internacional Conference of Information Commissioners (ICIC) 2015"", el cual ha tenido como propósito cumplir formal invitación del Consejo para la Transparencia de Chile","20/4/2015",2015,"24/4/2015","2306.7",,2000,,"informe de misión oficial","Si"
41,"Angélica Maytín","ANTAI","Angélica","Maytín","Directora general","beijín, china","china","35:105'","""Sexto simposio de la IACA"" con el tema ""Un futuro sin corrupción"" y Reunión con el señor Procurador de la República Popular de China","9/5/2015",2015,"17/5/2015","9286.7",,4800,,"informe de misión oficial","Si"
42,"Antonio Lam","ANTAI","Antonio","Lam","Director oficina de cooperación técnica internacional","beijín, china","china","35:105'","""Sexto simposio de la IACA"" con el tema ""Un futuro sin corrupción"" y Reunión con el señor Procurador de la República Popular de China","9/5/2015",2015,"17/5/2015","3234.78",,4800,,"informe de misión oficial","Si"
43,"Angélica Maytín","ANTAI","Angélica","Maytín","Directora general","viena, austria","austria","47,333333:13,333333'","Sexto periodo de sesiones del Grupo de Examen de la Aplicación de la Convención de las Naciones Unidas contra la Corrupción","30/5/2015",2015,"6/6/2015","2946.51",,4200,,"informe de misión oficial","Si"
44,"Antonio Lam","ANTAI","Antonio","Lam","Director oficina de cooperación técnica internacional","viena, austria","austria","47,333333:13,333333'","Sexto periodo de sesiones del Grupo de Examen de la Aplicación de la Convención de las Naciones Unidas contra la Corrupción","30/5/2015",2015,"6/6/2015","1185.54",,4200,,"informe de misión oficial","Si"
45,"Aída Martínez","ANTAI","Aída","Martínez","Asesora legal de la dirección de cooperación técnica internacional","asunción, paraguay","paraguay","-22,993333:-57,996389'","Segunda Reunión de Diálogo Regional de Política (DRP) de Gobierno Abierto en América Latina y el Caribe (ALC)","16/6/2015",2015,"19/6/2015",,"Cubierto Por El Organismo Internacional",315,,"informe de misión oficial","Si"
46,"Angélica Maytín","ANTAI","Angélica","Maytín","Directora general","viena, austria","austria","47,333333:13,333333'","Invitación de la oficina de las Naciones Unidas contra la Droga y el Delito (ONODC), para participar de la VI y IX reunión del grupo de trabajo Intergubernamental de Composición Abierta sobre Prevención de la Corrupción y Recuperación de Activos","29/8/2015",2015,"5/9/2015","2957.66",,4200,,"informe de misión oficial","Si"
47,"Antonio Lam","ANTAI","Antonio","Lam","Director oficina de cooperación técnica internacional","viena, austria","austria","47,333333:13,333333'","Invitación de la oficina de las Naciones Unidas contra la Droga y el Delito (ONODC), para participar de la VI y IX reunión del grupo de trabajo Intergubernamental de Composición Abierta sobre Prevención de la Corrupción y Recuperación de Activos","29/8/2015",2015,"5/9/2015","1970.72",,4200,,"informe de misión oficial","Si"
48,"Victor Diaz","ANTAI","Victor","Diaz","Coordinador oficina de cooperación técnica internacional","santiago, chile","chile","-30:-71'","Seminario Taller AGCID-FACSO “Transparencia en la Gestión Pública”","28/9/2015",2015,"2/10/2015",,"Cubierto Por El Organismo Internacional",810,,"informe de misión oficial","Si"
49,"Antonio Lam","ANTAI","Antonio","Lam","Director oficina de cooperación técnica internacional","federación de rusia","rusia","60:100'","Octava Conferencia Anual y Reunión General (IAACA) y Sexto Período de Sesiones de la Conferencia de los Estados Partes UNCAC","30/10/2015",2015,"7/11/2015","2705.94",,6000,,"informe de misión oficial","Si"
50,"Angélica Maytín","ANTAI","Angélica","Maytín","Directora general","federación de rusia","rusia","60:100'","Octava Conferencia Anual y Reunión General (IAACA) y Sexto Período de Sesiones de la Conferencia de los Estados Partes UNCAC","30/10/2015",2015,"5/11/2015","6058.68",,4800,,"informe de misión oficial","Si"
51,"Angélica Maytín","ANTAI","Angélica","Maytín","Directora general","washington dc, estados unidos","estados unidos de américa","39,828175:-98,5795'","Reunión del Subgrupo de Análisis y la Vigésima Séptima Reunión del Comité de Expertos del Mecanismo de Seguimiento de la Implementación de la Convención Interamericana contra la Corrupción (MESICIC).","9/9/2016",2016,"9/15/2016","711.76",,4800,,"informe de misión oficial","Si"
52,"Antonio Lam","ANTAI","Antonio","Lam","Director oficina de cooperación técnica internacional","washington dc, estados unidos","estados unidos de américa","39,828175:-98,5795'","Reunión del Subgrupo de Análisis y la Vigésima Séptima Reunión del Comité de Expertos del Mecanismo de Seguimiento de la Implementación de la Convención Interamericana contra la Corrupción (MESICIC).","9/9/2016",2016,"9/15/2016","711.76",,4000,,"informe de misión oficial","Si"
53,"Angélica Maytín","ANTAI","Angélica","Maytín","Directora general","washington dc, estados unidos","estados unidos de américa","39,828175:-98,5795'","Cuarta Reunión de Estados Partes del mecanismo de seguimiento de la implementación de la Convención Interamericana contra la Corrupción","13/12/2015",2015,"15/12/2015",,"Cubierto Por El Organismo Internacional",1500,,"informe sustantivo","Si"
54,"Angélica Maytín","ANTAI","Angélica","Maytín","Directora general","washington dc, estados unidos","estados unidos de américa","39,828175:-98,5795'","Vigésima Sexta Reunión del Comite de Expertos del MESICIC, efectuada del 7 al 11 de marzo de 2016.","07/03/2016",2016,"11/03/2016","1653.56",,3600,,"informe sustantivo","Si"
55,"Antonio Lam","ANTAI","Antonio","Lam","Director oficina de cooperación técnica internacional","washington dc, estados unidos","estados unidos de américa","39,828175:-98,5795'","Vigésima Sexta Reunión del Comite de Expertos del MESICIC, efectuada del 7 al 11 de marzo de 2016.","07/03/2016",2016,"11/03/2016","890.46",,3000,,"informe sustantivo","Si"
56,"Antonio Lam","ANTAI","Antonio","Lam","Director oficina de cooperación técnica internacional","san josé, costa rica","costa rica","10:-84'","Evaluación In Situ a Costa Rica por parte del MESICIC.","07/04/2016",2016,"22/04/2016","606.99",,2000,,"informe sustantivo","Si"
57,"Angélica Maytín","ANTAI","Angélica","Maytín","Directora general","santiago, chile","chile","-30:-71'","VII Seminario Internacional de Transparencia del Consejo para la Transparencia","4/19/2016",2016,"4/22/2016","3665.9",,1800,,"informe sustantivo","Si"
58,"Angélica Maytín","ANTAI","Angélica","Maytín","Directora general","beijín, china","china","35:105'","Novena Conferencia Anual y Reunión General de la Asociación Internacional de Autoridades Anticorrupción (IAACA, por sus siglas en inglés)","5/7/2016",2016,"5/14/2016","9778.98",,4900,,"informe sustantivo","Si"
59,"Aída Martínez","ANTAI","Aída","Martínez","Asesora legal de cooperación técnica internacional","bogotá, colombia","colombia","4:-72'","Datos Abiertos de Gobierno (DAG) en seguimiento al proyecto de “Fortalecimiento de las capacidades de los países en desarrollo para proporcionar acceso a la información para el desarrollo sostenible a través de los Datos Abiertos de Gobierno”","5/16/2016",2016,"5/19/2016",,"Cubierto Por El Organismo Internacional",,,"informe sustantivo","Si"
60,"Angélica Maytín","ANTAI","Angélica","Maytín","Directora general","viena, austria","austria","47,333333:13,333333'","Séptimo Periodo de Sesiones del Grupo de Examen de la Aplicación de la Convención de las Naciones Unidas contra la Corrupción (UNCAC, por sus siglas en inglés)","6/19/2016",2016,"6/25/2016","3745.85",,4900,,"informe sustantivo","Si"
61,"Antonio Lam","ANTAI","Antonio","Lam","Director oficina de cooperación técnica internacional","viena, austria","austria","47,333333:13,333333'","Séptimo Periodo de Sesiones del Grupo de Examen de la Aplicación de la Convención de las Naciones Unidas contra la Corrupción (UNCAC, por sus siglas en inglés)","6/19/2016",2016,"6/25/2016","2435.1",,4200,,"informe sustantivo","Si"
62,"Angélica Maytín","ANTAI","Angélica","Maytín","Directora general","viena, austria","austria","47,333333:13,333333'","Séptima Reunión del Grupo de Trabajo Intergubernamental de Composición Abierta Sobre Prevención de la Corrupción y Décima Reunión de Trabajo Intergubernamental de Composición Abierta Sobre Recuperación de Activos.","8/22/2016",2016,"8/26/2016","3750.91",,4900,,"informe sustantivo","Si"
63,"Antonio Lam","ANTAI","Antonio","Lam","Director oficina de cooperación técnica internacional","viena, austria","austria","47,333333:13,333333'","Séptima Reunión del Grupo de Trabajo Intergubernamental de Composición Abierta Sobre Prevención de la Corrupción y Décima Reunión de Trabajo Intergubernamental de Composición Abierta Sobre Recuperación de Activos.","8/22/2016",2016,"8/26/2016","2359.91",,4200,,"informe sustantivo","Si"
64,"Aída Martínez","ANTAI","Aída","Martínez","Asesora legal de cooperación técnica internacional","santiago, chile","chile","-30:-71'","Taller Regional sobre Planes de Acción de Datos Abiertos de Gobierno (DAG) para el Desarrollo Sostenible en América Latina","9/26/2016",2016,"9/28/2016",,"Cubierto Por El Organismo Internacional",,,"informe sustantivo","Si"
65,"Aída Martínez","ANTAI","Aída","Martínez","Asesora legal de cooperación técnica internacional","colombia","colombia","4:-72'","Tercera Reunión de Diálogo Regional de Política (DRP) de Gobierno Abierto en América Latina y el Caribe (ALC)","10/13/2016",2016,"10/14/2016",,"Cubierto Por El Organismo Internacional",,,"informe sustantivo","Si"
66,"Agustin Ordoñez","MINSA","Agustin","Ordoñez","Funcionario del proyecto de saneamiento de la ciudad y la bahia de panama","parís, francia","francia","46:2'","Participar en el evento CAF (Conferencia de las partes de la Cumbre de las Naciones Unidas sobre cambio climatico)","12/7/2015",2015,"12/10/2015",,"Cubierto Por En Banco De Desarrollo De America Latina",540,,"no","No"
67,"Max Ramirez","MINSA","Max","Ramirez","Coordinador del programa de niñez y adolecencia","el salvador","el salvador","13,833333:-88,916667'","Participar en la I Reunión Regional del Grupo de Trabajo de Salud Adolescente","11/17/2015",2015,"11/21/2015",,"Cubierto Por Comisca",420,,"no","No"
68,"Jose Lasso","MINSA","Jose","Lasso","Jefe de docencia del ion","taipei, taiwan","taiwan","24:121'","Participar en una visita de intercambio en el área de aprovechamiento de capacidades nacionales para la formación de recursos humanos en salud, en el marco del memorando de entendimiento entre MINSA- Universidad de Taipéi","11/28/2015",2015,"12/4/2015",,"Cubierto Por La Embajada De Taiwan",3600,,"no","No"
69,"Carmen Galvez","MINSA","Carmen","Galvez","Funcionaria cel centro de salud de agua buena","santiago de chile, chile","chile","-30:-71'","Participar como capacitadora de los talleres de proyecto SOFAR","11/17/2015",2015,"11/21/2015",,"Cubierto Por Ops/oms",540,,"no","No"
70,"Arelis Quintero","MINSA","Arelis","Quintero","Jefa del depto de registros sanitarios de farmacias y drogas","el salvador","el salvador","13,833333:-88,916667'","Participar en la III Ronda de Union Aduanera Centroamericana","11/29/2015",2015,"12/4/2015","739.82",,2100,,"no","No"
71,"Jaime Sanchez","MINSA","Jaime","Sanchez","Ginecoobstetra de la sala de partos y urgencias del hospital santo tomas","miami, florida","estados unidos de américa","39,828175:-98,5795'","Participar en la Capacitación de Muerte Materna","10/13/2015",2015,"10/16/2015",700,,405,,"no","No"
72,"Felix Stanziola","MINSA","Felix","Stanziola","Director de informatica","españa","españa","40:-4'","Realizar una visita a la Agencia Española de Medicamentos y Productos Sanitarios en Madrid, España a tratar los temas de Expedientes de Registro, Documentos Técnicos Común (CTD)","10/17/2015",2015,"10/29/2015",,"Cubierto Por Ops/oms",7200,,"no","No"
73,"Mariela Gonzalez","MINSA","Mariela","Gonzalez","Directora de ginecologia y obstetra del hosp. jose domingo obaldia","tegucigalpa, honduras","honduras","15:-86,5'","Participar en la Capacitación de Muerte Materna","10/13/2015",2015,"10/16/2015",,"Cubierto Por Unfpa",405,,"no","No"
74,"Raquel Mock","MINSA","Raquel","Mock","Coorinadora del programa de salud de adultos","ginebra, suiza","suiza","47:8'","participar en el taller estrategia mundial y el plan de accion sobre envejecimiento y salud","10/27/2015",2015,"11/1/2015",,"Cubierto Por Ops/oms",720,,"no","No"
75,"Diomedes Vergara","MINSA","Diomedes","Vergara","Supervisor de ingenieria de operación y mantenimiento","japón","japón","36:138'","CAPACITACION DE CONTRAPARTES EN JAPON EN EL MARCO DEL PROYECTO DE MEJORAMIENTO DE LA ADMINISTRACION DE AGUAS METROPOLITANAS DE PANAMA","7/4/2016",2016,"7/17/2016",,"Cubierto Por Jica",1950,,"no","No"
76,"Miguel Mayo","MINSA","Miguel","Mayo","Viceministro de salud","nueva york","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR EN LA REUNION DE ALTO NIVEL PARA PONER FIN AL SIDA","6/7/2016",2016,"6/11/2016","2271.76",,2400,,"no","No"
77,"Zereth Torres","MINSA","Zereth","Torres","Abogada del despacho superior","managua, nicaragua","nicaragua","13:-85'","PARTICIPAR EN LA VI RONDA DE NEGOCIACION PARA LA SUSCRIPCION DE UN TRATADO DE LIBRE COMERCIO ENTRE LA REP. DE PANAMA JUNTO A LOS PAISES DE CENTROAMERICA Y LA REP. DE COREA.","9/26/2016",2016,"10/1/2016",,,2000,,"no","No"
78,"Felicia Tuloch","MINSA","Felicia","Tuloch","Subdirectora general de salud publica","washington dc, estados unidos","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR EN LA CONSULTA SOBRE DESAFIOS ETICOS GENRADOS POR BROTE DE ZIKA","4/5/2016",2016,"4/8/2016",,"Cubierto Por Ops/oms",375,,"no","No"
79,"Ricardo Goti","MINSA","Ricardo","Goti","Coordinador del programa de salud","nueva york","estados unidos de américa","39,828175:-98,5795'","PARTICIPAR EN LA SESION ESPECIAL DE ÑA ASAMBLEA DE LAS NACIONES UNIDAS SOBRE DROGA (UNGASS)","4/18/2016",2016,"4/22/2016","840.16",,2000,,"no","No"
80,"Mayra Botacio","MINSA","Mayra","Botacio","Jefa del depto. de saneamiento ambiental","sao paulo, brasil","brasil","-10:-55'","PARTICIPAR EN EL SEMINARIO ACERCA DE LA CONVENCION SOBRE LAS ARMAS QUIMICAS Y LA GESTION DE LA PROTECCION Y SEGURIDAD QUIMICAS","4/17/2016",2016,"4/21/2016",,"Cubierto Por Opaq",400,,"no","No"
81,"Mayra Abood","MINSA","Mayra","Abood","Docencia de la dirección general de salud pública","la habana, cuba","cuba","22:-79,5'","Participar de la visita a La Habana, Cuba con el objetivo de evaluar los cursos de postgrado en algunas especialidades médicas, con miras a determinar la viabilidad o no de firmar un convenio de cooperación para la formación de especialistas médicos en Cuba.","1/18/2016",2016,"1/21/2016",1577,,1200,,"no","No"
82,"Aurelio Nuñez","MINSA","Aurelio","Nuñez","Jefe del programa nac. de its/vih hepatitis virales","el salvador","el salvador","13,833333:-88,916667'","PARTICIPAR E EL SEGUNDO DIALOGOREGIONAL DE LA NOTA CONCEPTUAL DE VIH PARA POBLACION MOVILES Y MIGRANTES EN CENTROAMERICA.","1/13/2016",2016,"1/16/2016",,"Cubierto Por Comisca",300,,"no","No"
83,"María Yolanda Álvarez","MIVIOT","María Yolanda","Álvarez","Directora de programación y presupuesto","argentina","argentina","-34:-64'","XLII Seminario Internacional de Presupuesto Público","10/5/2015",2015,"10/10/2015","1507.19",,2250,,"no","No"
84,"Rodrigo Guardia Dall'orso","MIVIOT","Rodrigo","Guardia DALL'ORSO","Director de investigación territorial","el salvador","el salvador","13,833333:-88,916667'","PARTICIPAR EN EL FORO LATINOAMERICANO Y EL CARIBE DE REDUCCIÓN DEL RIESGO DE DESASTRE","1/28/2014",2014,"1/31/2014",,"Sufragado Por El Foro",315,,"no","No"
